state	from	to	time
6000000	California	Washington	9.411267680065647
6000000	Texas	California	3.5076976561871467
6000000	NewJersey	Virginia	7.7585096406027425
6000000	Texas	Virginia	5.236419014369197
6000000	California	Texas	3.109070646463795
6000000	Texas	Virginia	8.357332188084069
6000000	Virginia	Georgia	3.9137649626628788
6000000	Texas	Tennessee	6.055332823667647
6000000	Florida	Georgia	1.6896595724201955
6000000	Texas	Arizona	2.5207606546953283
6000000	Virginia	Texas	1.4404539020543616
6000000	Texas	Tennessee	1.386214839879898
6000000	California	Arizona	3.0223822565379947
6000000	California	Washington	0.7184654737387626
6000000	California	Arizona	1.0253482173470911
6000000	Virginia	Indiana	7.1408593341151905
6000000	Virginia	Tennessee	1.2686531382027757
6000000	California	Texas	2.35923559911983
6000000	Texas	Tennessee	2.122629546042585
6000000	Virginia	Indiana	8.010749591642163
6000000	Florida	Georgia	1.8717390332344113
6000000	California	Washington	32.57577012834908
6000000	Washington	California	19.78981112374789
6000000	Texas	Tennessee	6.465392842262886
6000000	California	Washington	2.3476138584685504
6000000	California	Arizona	60.32063334067673
6000000	Washington	Michigan	6.466599722370647
6000000	Texas	Florida	2.572142820111327
6000000	Florida	Georgia	0.674111188531547
6000000	Washington	Idaho	0.6992672587681827
6000000	Texas	Arizona	1.5431996334613127
6000000	Virginia	Tennessee	6.544986520912518
6000000	Texas	Tennessee	2.9591530781617834
6000000	Texas	California	2.950373403411432
6000000	California	Arizona	0.858280449726422
6000000	Washington	Idaho	3.2465574781939197
6000000	Virginia	Indiana	4.698919505711657
6000000	Indiana	Michigan	1.9526355800282604
6000000	Texas	Tennessee	2.827659805398135
6000000	Virginia	Georgia	2.06513857167418
6000000	NewJersey	Virginia	0.2859355160066215
6000000	California	Arizona	1.530831419497515
6000000	Texas	Michigan	2.199335482880585
6000000	Michigan	Iowa	1.669020458921722
6000000	Washington	Michigan	14.798918721131034
6000000	Virginia	Indiana	13.493728034520787
6000000	Texas	Arizona	0.6092468205761237
6000000	Texas	Tennessee	1.2343320388377679
6000000	California	Washington	33.70546215250771
6000000	Washington	Idaho	14.236447301542754
6000000	Michigan	Texas	2.615404826115494
6000000	Texas	Tennessee	0.820894093902387
6000000	Virginia	NewJersey	5.751464978237381
6000000	Virginia	Indiana	2.367414526507422
